country,Matteo,Marko,Luke,Nathan,Philip,Rinor,Thomas,Oliver,Rodrigo,Pedro,Wiv,Costa
albania,11,19,12,19,19,11,15,13,13,13,9,12
andorra,17,17,15,10,13,14,18,15,11,7,8,18
belgium,5,6,16,12,7,1,6,23,8,2,22,14
bosnia and herzegovina,8,3,2,20,15,9,4,2,5,8,3,4
croatia,9,4,9,4,5,5,14,5,9,9,7,2
finland,14,15,5,13,9,3,19,1,16,19,2,11
france,12,23,22,21,23,23,23,22,6,14,11,17
germany,13,11,1,2,1,15,5,3,4,5,1,9
greece,1,2,6,15,12,7,1,6,1,11,5,3
israel,23,22,19,23,21,21,21,16,19,23,21,22
latvia,24,24,23,24,24,24,20,19,24,15,15,24
macedonia,6,1,18,3,4,2,12,11,12,6,14,6
moldova,20,10,21,16,18,20,24,24,23,10,24,20
norway,3,7,3,7,2,10,11,14,7,16,4,5
poland,16,16,14,6,14,22,17,21,22,20,17,8
romania,18,12,4,9,6,12,2,7,20,21,10,10
russia,10,8,7,5,8,8,3,8,21,12,6,16
slovenia,15,14,17,22,17,13,8,12,14,18,19,13
spain,21,18,20,17,20,17,22,17,15,17,18,15
sweden,7,13,8,8,11,4,7,9,2,24,23,21
switzerland,22,21,24,18,22,19,13,20,18,22,20,23
turkey,2,9,10,1,10,16,9,10,17,3,16,7
ukraine,4,5,11,11,3,6,16,4,10,4,12,1
united kingdom,19,20,13,14,16,18,10,18,3,1,13,19
